type;VaccPoint ;PointName;lat;long;y_proj;x_proj;comment;display;symbol;unused1;dist;prox_index;color;altitude;depth;temp;time;wpt_class;sub_class;attrib;link;state;country;city;address;facility;crossroad;unused2;ete;dtype;model;filename;ltime
WAYPOINT;ASA1;C.S. ALTO SELVA ALEGRE;-16.38098695;-71.51887639;-16.38098695;-71.51887639; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA2;PLAZA ESPIRITU SANTO;-16.38555734;-71.52168407;-16.38555734;-71.52168407; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA3;COMPLEJO AREQUIPA;-16.37984154;-71.51532369;-16.37984154;-71.51532369; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA4;COMPLEJO DEPORTIVO ROMERO;-16.38884091;-71.52842786;-16.38884091;-71.52842786; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA5;COMPLEJO DEPORTIVO ROOSEVELT;-16.38200761;-71.52349356;-16.38200761;-71.52349356; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA6;MERCADO VILLA HERMOSA;-16.37908343;-71.52050544;-16.37908343;-71.52050544; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA7;PLAZA 1 DE MAYO;-16.38964907;-71.52655266;-16.38964907;-71.52655266; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA8;PISCINA MUNICIPAL;-16.37605979;-71.51678767;-16.37605979;-71.51678767; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA9;PARQUE AV. LETICIA;-16.37343701;-71.51493797;-16.37343701;-71.51493797; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA10;C.S. INDEPENDENCIA;-16.36688025;-71.5248993;-16.36688025;-71.5248993; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA11;TERMINAL DE VILLA ECOLOGICA;-16.34319516;-71.52118078;-16.34319516;-71.52118078; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA12;I.E. BEETHOVEN;-16.36396968;-71.52225021;-16.36396968;-71.52225021; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA13;SAN LUIS GONZAGA ZONA A;-16.35178823;-71.51152011;-16.35178823;-71.51152011; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA14;SAN LUIS GONZAGA ZONA B;-16.34735521;-71.51307132;-16.34735521;-71.51307132; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
